title,content,heart,interest,view,price,temperature
애플 에어팟4 액티브 노이즈 캔슬 미개봉 팝니다.,"애플 에어팟4 액티브 노이즈 캔슬 새제품입니다.
애플스토어에서 구입한 정품입니다.
송도신도시 직거래 희망합니다.
채팅주세요.",0,1,11,220000,36.5
에어팟4 노이즈캔슬링 미개봉 새상품,"에어팟4 새상품입니다.
구매한지 일주일도 안됐습니다.",4,7,84,205000,36.5
애플 에어팟 4 노이즈캔슬링 미개봉,"애플 에어팟 4노이즈캔슬링 팝니다

미개봉 새상품이고, 액티브 노이즈 캔슬링 기능이 있어요!
제조년월 2026년 1월입니다",1,8,63,200000,36.5
애플 에어팟4 노이즈캔슬 미개봉 팝니다.,"애플 에어팟4 노이즈캔슬 미개봉 팝니다.
송도신도시 직거래 희망합니다.
채팅주세요.",3,5,103,220000,36.5
"애플 에어팟4 판매, tech21케이스 일괄","노캔 안되는 에어팟이고 애플스토어 인터넷으로 구매했습니다!
곰돌이 캐릭터 커스텀 되어있고 애플에서 판매하는 tech21케이스(4만원대에 구매) 드립니다!
음질이나 마이크 상태좋고 케이스 끼고 실내에서만 사용해서 기스 없습니다.
택배물품 수령은 1월7일이고 출장으로 2026년 2월 5일 개봉해서 한달 이내로 사용했습니다!",0,5,75,130000,42.1
에어팟4 AirPods 4 새상품,"AirPods 4 미개봉 새상품입니다
박스가 좀 먼지쌓여서 가격 내려용
에눌 안받습니다~~~",16,9,687,210000,42.1
에어팟4 미개봉,에어팟 4 미개봉 팝니다,5,3,314,230000,36.5
에어팟4 노캔 미개봉,"경품으로 받아서 팝니다

네고 안되고 거래는 인천대 기숙사쪽에서만 합니다!",4,7,196,240000,45.1
애플 에어팟 4,"산지 얼마 안되서 며칠 쓰고서 한쪽을 잃어버려 가지고 한쪽이랑 본체만 팔아요 다 잘 들리고 연결도 다 잘됩니다.  

하자 이런거 없고 깨끗합니다",5,5,396,80000,36.5
에어팟4 노이즈 캔슬링(미개봉) 팝니다,.,3,4,159,230000,51.6
(미개봉 새상품)에어팟4 노캔모델 팝니다,"(미개봉 새상품)에어팟4 노캔모델 팝니다. (제조 24년 11월)

네고 문의 안받을게요 ㅠ
안팔리면 제가 가격다운 합니다~",0,0,84,230000,45.2
에어팟4 (노캔 O) 미개봉 팝니다,"같은 제품 사용중에 경품으로 받아서 팝니다!
직거래는 인천대입구역 근처 원해요.",4,6,212,235000,36.5
에어팟 4 노캔 새상품,"에어팟4 새상품 판매합니다.
공홈에서 주문했습니다!",8,3,266,220000,36.5
에어팟 4 노캔x 팝니다. 바로오면 12,"11/22일 현대백화점에서 구매했습니다.
제겐 커널형이 더 맞는것 같아 판매합니다.
박스 있습니다

롯데몰 근처 거래합니다.
빠른 거래 시 네고가능",4,4,139,130000,36.5
에어팟4 기본모델,"에어팟4 기본모델입니다
사용감 있으나 노래 잘 나옵니다
기능상 문제 없습니다",14,13,325,80000,36.5
에어팟4 노이즈 캔슬링,"ㅣ에어팟 4 노이즈 캔슬린 (미개봉) 판매합니다

직거래는 웰카운티 2단지 또는 지식정보단지역, 테크노파크역에서 합니다",6,9,186,225000,36.5
에어팟4노이즈캔슬링,"미국구매 새상품
노이즈 캔슬링제품",2,0,95,230000,46.4
미개봉) 에어팟4 노이즈캔슬링,"에어팟 4세대 노이즈캔슬링 모델 판매합니다.
미개봉 상태이며 국내 정식 발매 제품입니다.",2,3,138,240000,45.2
미개봉 애플 에어팟4 MXP93KH/A 팔아요,미개봉입니다 와서 확인해보세요 지정단역에서 직거래 희망합니다,2,1,40,225000,36.5
에어팟4 노캔X,"에어팟4 노캔X
지난 블플때 구매 했습니다.
귀에 맞지않아서 판매 합니다.
신발신을라고 수그리다가 한번떨어뜨려서
한번떨어뜨려서작은 흠집 하나 있습니다",4,1,81,100000,36.5
